timestamp,station_id,pH,dissolved_oxygen,temperature,turbidity,conductivity,ammonia,nitrites,nitrates
2024-11-01T08:00:00Z,station_001,7.2,8.5,22.1,0.2,250.3,0.01,0.05,2.1
2024-11-01T08:30:00Z,station_001,7.1,8.7,22.3,0.25,248.7,0.015,0.04,2.0
2024-11-01T09:00:00Z,station_001,7.3,8.3,22.8,0.18,252.1,0.012,0.06,2.3
2024-11-01T09:30:00Z,station_001,7.0,8.9,23.1,0.22,245.8,0.018,0.05,1.9
2024-11-01T10:00:00Z,station_001,7.4,8.1,23.5,0.31,258.2,0.011,0.07,2.5
2024-11-01T10:30:00Z,station_001,7.2,8.6,24.0,0.19,251.6,0.014,0.04,2.2
2024-11-01T11:00:00Z,station_001,7.1,8.8,24.2,0.27,247.3,0.016,0.06,2.0
2024-11-01T11:30:00Z,station_001,7.3,8.4,24.6,0.23,253.9,0.013,0.05,2.4
2024-11-01T12:00:00Z,station_001,7.2,8.2,25.1,0.29,256.1,0.017,0.07,2.1
2024-11-01T12:30:00Z,station_001,7.0,8.7,25.3,0.21,249.8,0.015,0.04,1.8
